Hyundai,ACQ674,Váltófelújítás,2020.11.26,65000,2022.01.15
Suzuki,AEF761,Fékbetét csere,2019.01.11,45000,2021.12.26
Dodge,AFD288,Olajcsere,2020.12.19,15000,2022.01.11
Dacia,BKC576,Gyertacsere,2020.12.06,10000,2022.03.12
Dacia,BKC576,Fékbetét csere,2020.12.06,45000,2022.03.12
Dacia,BKC576,Váltófelújítás,2019.02.06,65000,2022.03.12
Chevrolet,BKL205,Hengerfej csere,2020.12.07,40000,2022.03.13
Peugeot,BPR890,Hengerfej csere,2020.11.22,40000,2021.12.21
AlfaRomeo,CBL232,AC pumpa csere,2020.12.16,25000,2021.12.24
Fiat,CCJ865,Hengerfej csere,2020.12.11,40000,2022.03.17
Mercedes,EQP090,Váltófelújítás,2019.01.15,65000,2022.03.17
Honda,EVE540,Olajcsere,2020.11.19,15000,2022.03.15
Porsche,GSV754,Lengéscsillapító csere,2020.12.08,50000,2022.03.14
Renault,GYT611,Váltófelújítás,2020.11.27,65000,2022.02.16
Dacia,HAC448,Váltófelújítás,2019.01.11,65000,2021.12.25
Peugeot,HCN924,AC pumpa csere,2019.01.14,25000,2022.03.16
Renault,HLZ941,AC pumpa csere,2020.02.13,25000,2022.03.20
Renault,HLZ941,Kipufugó csere,2020.12.14,35000,2022.03.20
Renault,HLZ941,Olajcsere,2020.12.14,15000,2022.03.20
Suzuki,HNY561,Klímacsere,2020.12.20,120000,2022.03.17
Citroen,HWL609,Váltófelújítás,2019.02.06,65000,2022.02.14
Mercedes,JHN621,Váltófelújítás,2020.11.20,65000,2022.03.16
Mercedes,JHN621,Szélvédõ csere,2020.11.20,15000,2022.03.16
Volkswagen,JQK278,Olajcsere,2019.01.17,15000,2022.03.19
AlfaRomeo,KBU679,Fékbetét csere,2020.11.22,45000,2021.12.20
Renault,KLL260,Váltófelújítás,2019.02.09,65000,2022.02.17
Chevrolet,KXT394,Hengerfej csere,2019.02.05,40000,2022.02.13
Fiat,NVC779,Gyertacsere,2020.11.21,10000,2022.02.16
Citroen,OGK273,Fékbetét csere,2019.01.12,45000,2022.03.14
Citroen,ONL685,Szélvédõ csere,2020.11.29,15000,2021.12.27
Volkswagen,ONZ083,Szélvédõ csere,2019.01.13,15000,2022.03.15
Volkswagen,OWB085,Lengéscsillapító csere,2020.11.24,50000,2022.01.11
Dodge,PWB381,Kipufugó csere,2020.11.18,35000,2022.03.14
Opel,QLI634,Hengerfej csere,2020.11.16,40000,2021.12.14
Hyundai,QXM957,Szélvédõ csere,2020.12.18,15000,2022.01.10
Hyundai,QXM957,Lengéscsillapító csere,2020.12.18,50000,2022.01.10
Dacia,ROA456,AC pumpa csere,2019.01.18,25000,2022.03.20
Nissan,SCP947,Lengéscsillapító csere,2020.11.17,50000,2021.12.15
Nissan,SCP947,Olajcsere,2020.11.17,15000,2021.12.15
Nissan,SPN376,Klímacsere,2020.12.13,120000,2022.03.19
Chevrolet,TEN469,AC pumpa csere,2020.12.21,25000,2022.03.18
Chevrolet,TEN469,Idõszakos szerviz,2020.12.21,100000,2022.03.18
Chevrolet,TEN469,Váltófelújítás,2019.02.09,65000,2022.03.18
Ford,TIR598,Váltófelújítás,2019.01.11,65000,2022.03.13
Mercedes,TKH574,Klímacsere,2020.12.09,120000,2022.03.15
Chevrolet,TLP193,Olajcsere,2019.01.19,15000,2021.12.23
Suzuki,TYP480,Olajcsere,2020.12.15,15000,2021.12.23
Suzuki,UDR874,Gyertacsere,2019.01.20,10000,2022.03.14
Hyundai,URN239,Lengéscsillapító csere,2019.02.08,50000,2022.02.16
Opel,UXI902,Olajcsere,2020.12.22,15000,2022.01.14
Peugeot,VJV349,AC pumpa csere,2020.12.10,25000,2022.03.16
Daewoo,VOT166,Szélvédõ csere,2019.01.16,15000,2022.03.18
Honda,WWW632,Váltófelújítás,2020.12.12,65000,2022.02.16
Honda,WWW632,Szélvédõ csere,2020.12.12,15000,2022.02.16
Citroen,XHV764,Váltófelújítás,2019.02.03,65000,2022.03.17
Daewoo,XVK889,AC pumpa csere,2020.11.25,25000,2021.12.23
Dacia,XWA164,Fékbetét csere,2019.02.04,45000,2022.03.20
Daewoo,YFU826,Idõszakos szerviz,2019.02.07,100000,2022.02.15
Ford,ZFS145,Idõszakos szerviz,2020.11.15,100000,2022.03.15
Fiat,ZME060,Gyertacsere,2019.01.10,10000,2022.03.12
